Date,City,Actual_PM25,Forecast_PM25
2023-11-15,Toronto,8.833333333,8.57942925803906
2023-11-16,Toronto,24.66666667,8.251605563984732
2023-11-17,Toronto,8.875,7.895607221000519
2023-11-18,Toronto,4.125,7.5245501608550995
2023-11-19,Toronto,4.208333333,7.692619203095617
2023-11-20,Toronto,4.041666667,8.320882545829573
2023-11-21,Toronto,4.25,8.381580935766262
2023-11-22,Toronto,4.291666667,8.58261964956219
2023-11-23,Toronto,8.0,8.254795955507863
2023-11-24,Toronto,2.25,7.89879761252365
2023-11-25,Toronto,7.166666667,7.52774055237823
2023-11-26,Toronto,10.41666667,7.695809594618748
2023-11-27,Toronto,5.25,8.324072937352703
2023-11-28,Toronto,2.916666667,8.384771327289393
2023-11-29,Toronto,8.458333333,8.58581004108532
2023-11-30,Toronto,16.625,8.257986347030993
2023-12-01,Toronto,11.86956522,7.90198800404678
2023-12-02,Toronto,4.666666667,7.53093094390136
2023-12-03,Toronto,6.333333333,7.698999986141878
2023-12-04,Toronto,3.083333333,8.327263328875834
2023-12-05,Toronto,5.416666667,8.387961718812523
2023-12-06,Toronto,4.916666667,8.58900043260845
2023-12-07,Toronto,15.70833333,8.261176738554123
2023-12-08,Toronto,17.875,7.90517839556991
2023-12-09,Toronto,9.75,7.534121335424491
2023-12-10,Toronto,3.958333333,7.7021903776650085
2023-12-11,Toronto,2.208333333,8.330453720398964
2023-12-12,Toronto,9.736842105,8.391152110335653
2023-12-13,Toronto,3.416666667,8.592190824131581
2023-12-14,Toronto,9.083333333,8.264367130077254
2023-12-15,Toronto,15.875,7.908368787093041
2023-12-16,Toronto,14.66666667,7.537311726947621
2023-12-17,Toronto,9.541666667,7.705380769188139
2023-12-18,Toronto,5.666666667,8.333644111922094
2023-12-19,Toronto,2.583333333,8.394342501858784
2023-12-20,Toronto,8.541666667,8.595381215654712
2023-12-21,Toronto,4.375,8.267557521600384
2023-12-22,Toronto,5.291666667,7.911559178616171
2023-12-23,Toronto,10.75,7.5405021184707515
2023-12-24,Toronto,12.75,7.708571160711269
2023-12-25,Toronto,18.33333333,8.336834503445225
2023-12-26,Toronto,16.70833333,8.397532893381914
2023-12-27,Toronto,5.291666667,8.598571607177842
2023-12-28,Toronto,4.833333333,8.270747913123515
2023-12-29,Toronto,8.5,7.914749570139302
2023-12-30,Toronto,2.458333333,7.543692509993882
2023-12-31,Toronto,4.291666667,7.7117615522344
2023-01-01,Edmonton,14.70833333,20.994810559358744
2023-01-02,Edmonton,6.875,15.229250022002839
2023-01-03,Edmonton,20.25,13.537985424046305
2023-01-04,Edmonton,19.91666667,11.416745618728267
2023-01-05,Edmonton,12.375,11.416436090962481
2023-01-06,Edmonton,16.875,10.340912715954108
2023-01-07,Edmonton,13.83333333,11.742505544160828
2023-01-08,Edmonton,28.54166667,10.506709212783118
2023-01-09,Edmonton,50.58333333,10.047904658277643
2023-01-10,Edmonton,66.0,10.016802632160609
2023-01-11,Edmonton,63.0,9.960960063546587
2023-01-12,Edmonton,19.58333333,10.163377411900717
2023-01-13,Edmonton,27.75,10.01888237621898
2023-01-14,Edmonton,31.33333333,11.250542179990532
2023-01-15,Edmonton,35.16666667,10.509376857500264
2023-01-16,Edmonton,6.541666667,9.827324108123921
2023-01-17,Edmonton,12.25,10.097142341043405
2023-01-18,Edmonton,7.625,9.84807490034914
2023-01-19,Edmonton,9.291666667,10.250028621699906
2023-01-20,Edmonton,4.083333333,9.95576511332157
2023-01-21,Edmonton,4.208333333,11.325942418215858
2023-01-22,Edmonton,1.583333333,10.47332155554172
2023-01-23,Edmonton,2.875,9.88957444748331
2023-01-24,Edmonton,2.125,10.077819168134198
2023-01-25,Edmonton,2.0,9.899228549278686
2023-01-26,Edmonton,1.0,10.241901485678813
2023-01-27,Edmonton,2.0,9.998393187862154
2023-01-28,Edmonton,1.125,11.32562253263946
2023-01-29,Edmonton,3.25,10.50962735169854
2023-01-30,Edmonton,3.0,9.894806918341718
2023-01-31,Edmonton,7.875,10.109504616835887
2023-02-01,Edmonton,5.708333333,9.908445326928092
2023-02-02,Edmonton,1.090909091,10.27023141051653
2023-02-03,Edmonton,10.45833333,10.010480534800168
2023-02-04,Edmonton,7.583333333,11.351522116076607
2023-02-05,Edmonton,4.333333333,10.523786523086224
2023-02-06,Edmonton,2.458333333,9.918948338374761
2023-02-07,Edmonton,3.375,10.125160288961926
2023-02-08,Edmonton,4.625,9.931315512824145
2023-02-09,Edmonton,6.375,10.286968392125319
2023-02-10,Edmonton,7.625,10.032431768595005
2023-02-11,Edmonton,2.083333333,11.369040525014212
2023-02-12,Edmonton,3.541666667,10.545073529522567
2023-02-13,Edmonton,1.541666667,9.937031496938184
2023-02-14,Edmonton,3.875,10.145967206601483
2023-02-15,Edmonton,10.70833333,9.949806836558372
2023-02-16,Edmonton,8.75,10.307428318925417
2023-02-17,Edmonton,3.75,10.051218091966998
2023-02-18,Edmonton,5.291666667,11.38924966149357
