City,Date,PM25_daily,Year,Month
La Dore,5/14/2020,3.25,2020,5
La Dore,5/15/2020,5.666666667,2020,5
La Dore,5/16/2020,4.375,2020,5
La Dore,5/17/2020,2.333333333,2020,5
La Dore,5/18/2020,1.958333333,2020,5
La Dore,5/19/2020,2.833333333,2020,5
La Dore,5/20/2020,4.166666667,2020,5
La Dore,5/21/2020,5.2,2020,5
La Dore,5/22/2020,3.208333333,2020,5
La Dore,5/23/2020,2.541666667,2020,5
La Dore,5/24/2020,4.75,2020,5
La Dore,5/25/2020,6.416666667,2020,5
La Dore,5/26/2020,7.625,2020,5
La Dore,5/27/2020,8.416666667,2020,5
La Dore,5/28/2020,7.583333333,2020,5
La Dore,5/29/2020,3.5,2020,5
La Dore,5/30/2020,0.958333333,2020,5
La Dore,5/31/2020,0.416666667,2020,5
La Dore,6/1/2020,1.166666667,2020,6
La Dore,6/2/2020,3.083333333,2020,6
La Dore,6/3/2020,2.125,2020,6
La Dore,6/4/2020,2.708333333,2020,6
La Dore,6/5/2020,3.875,2020,6
La Dore,6/6/2020,1.833333333,2020,6
La Dore,6/7/2020,2.166666667,2020,6
La Dore,6/8/2020,1.75,2020,6
La Dore,6/9/2020,2.208333333,2020,6
La Dore,6/10/2020,4.791666667,2020,6
La Dore,6/11/2020,5.52173913,2020,6
La Dore,6/12/2020,1.208333333,2020,6
La Dore,6/13/2020,1.291666667,2020,6
La Dore,6/14/2020,2.125,2020,6
La Dore,6/15/2020,3.291666667,2020,6
La Dore,6/16/2020,4.5,2020,6
La Dore,6/17/2020,8.375,2020,6
La Dore,6/18/2020,10.79166667,2020,6
La Dore,6/19/2020,10.83333333,2020,6
La Dore,6/20/2020,46.41666667,2020,6
La Dore,6/21/2020,9.5,2020,6
La Dore,6/22/2020,9.875,2020,6
La Dore,6/23/2020,10.125,2020,6
La Dore,6/24/2020,5.041666667,2020,6
La Dore,6/25/2020,2.75,2020,6
La Dore,6/26/2020,4.583333333,2020,6
La Dore,6/27/2020,6.416666667,2020,6
La Dore,6/28/2020,9.583333333,2020,6
La Dore,6/29/2020,10.45833333,2020,6
La Dore,6/30/2020,13.58333333,2020,6
La Dore,7/1/2020,11.29166667,2020,7
La Dore,7/2/2020,8.875,2020,7
La Dore,7/3/2020,3.75,2020,7
La Dore,7/4/2020,3.208333333,2020,7
La Dore,7/5/2020,4.291666667,2020,7
La Dore,7/6/2020,6.416666667,2020,7
La Dore,7/7/2020,7.75,2020,7
La Dore,7/8/2020,7.916666667,2020,7
La Dore,7/9/2020,10.04166667,2020,7
La Dore,7/10/2020,11.95833333,2020,7
La Dore,7/11/2020,7.791666667,2020,7
La Dore,7/12/2020,3.458333333,2020,7
La Dore,7/13/2020,4.5,2020,7
La Dore,7/14/2020,5,2020,7
La Dore,7/15/2020,5.416666667,2020,7
La Dore,7/16/2020,6.125,2020,7
La Dore,7/17/2020,3.80952381,2020,7
La Dore,7/18/2020,5.333333333,2020,7
La Dore,7/19/2020,6.375,2020,7
La Dore,7/20/2020,3.25,2020,7
La Dore,7/21/2020,2.541666667,2020,7
La Dore,7/22/2020,5.666666667,2020,7
La Dore,7/23/2020,5,2020,7
La Dore,7/24/2020,5.375,2020,7
La Dore,7/25/2020,7.75,2020,7
La Dore,7/26/2020,4.791666667,2020,7
La Dore,7/27/2020,6,2020,7
La Dore,7/28/2020,5.541666667,2020,7
La Dore,7/29/2020,5.25,2020,7
La Dore,7/30/2020,3.958333333,2020,7
La Dore,7/31/2020,4.5,2020,7
La Dore,8/1/2020,6.791666667,2020,8
La Dore,8/2/2020,7.666666667,2020,8
La Dore,8/3/2020,4.25,2020,8
La Dore,8/4/2020,5.541666667,2020,8
La Dore,8/5/2020,2.625,2020,8
La Dore,8/6/2020,3.875,2020,8
La Dore,8/7/2020,5.75,2020,8
La Dore,8/8/2020,8.291666667,2020,8
La Dore,8/9/2020,7.541666667,2020,8
La Dore,8/10/2020,7.416666667,2020,8
La Dore,8/11/2020,6.208333333,2020,8
La Dore,8/12/2020,6.583333333,2020,8
La Dore,8/13/2020,3.083333333,2020,8
La Dore,8/14/2020,3.291666667,2020,8
La Dore,8/15/2020,4.958333333,2020,8
La Dore,8/16/2020,6.458333333,2020,8
La Dore,8/17/2020,5.625,2020,8
La Dore,8/18/2020,3.291666667,2020,8
La Dore,8/19/2020,1.5,2020,8
La Dore,8/20/2020,3.833333333,2020,8
La Dore,8/21/2020,3.791666667,2020,8
La Dore,8/22/2020,4.333333333,2020,8
La Dore,8/23/2020,4.625,2020,8
La Dore,8/24/2020,5,2020,8
La Dore,8/25/2020,2.416666667,2020,8
La Dore,8/26/2020,1.666666667,2020,8
La Dore,8/27/2020,1.541666667,2020,8
La Dore,8/28/2020,2.208333333,2020,8
La Dore,8/29/2020,4.208333333,2020,8
La Dore,8/30/2020,2,2020,8
La Dore,8/31/2020,2.5,2020,8
La Dore,9/1/2020,5,2020,9
La Dore,9/2/2020,4.625,2020,9
La Dore,9/3/2020,3.625,2020,9
La Dore,9/4/2020,1.708333333,2020,9
La Dore,9/5/2020,1.208333333,2020,9
La Dore,9/6/2020,1.791666667,2020,9
La Dore,9/7/2020,4.291666667,2020,9
La Dore,9/8/2020,1.666666667,2020,9
La Dore,9/9/2020,2.318181818,2020,9
La Dore,9/10/2020,1.458333333,2020,9
La Dore,9/11/2020,2.875,2020,9
La Dore,9/12/2020,5.166666667,2020,9
La Dore,9/13/2020,3.625,2020,9
La Dore,9/14/2020,0.875,2020,9
La Dore,9/15/2020,1.958333333,2020,9
La Dore,9/16/2020,4.541666667,2020,9
La Dore,9/17/2020,1.208333333,2020,9
La Dore,9/18/2020,1,2020,9
La Dore,9/19/2020,1.208333333,2020,9
La Dore,9/20/2020,1.791666667,2020,9
La Dore,9/21/2020,3.291666667,2020,9
La Dore,9/22/2020,4.75,2020,9
La Dore,9/23/2020,5.083333333,2020,9
La Dore,9/24/2020,1.875,2020,9
La Dore,9/25/2020,3.75,2020,9
La Dore,9/26/2020,8.958333333,2020,9
La Dore,9/27/2020,9.041666667,2020,9
La Dore,9/28/2020,8.541666667,2020,9
La Dore,9/29/2020,5.75,2020,9
La Dore,9/30/2020,2.833333333,2020,9
La Dore,10/1/2020,2.333333333,2020,10
La Dore,10/2/2020,1.375,2020,10
La Dore,10/3/2020,1.291666667,2020,10
La Dore,10/4/2020,2.791666667,2020,10
La Dore,10/5/2020,5.375,2020,10
La Dore,10/6/2020,3.833333333,2020,10
La Dore,10/7/2020,4.416666667,2020,10
La Dore,10/8/2020,1.708333333,2020,10
La Dore,10/9/2020,2.333333333,2020,10
La Dore,10/10/2020,3.208333333,2020,10
La Dore,10/11/2020,1.75,2020,10
La Dore,10/12/2020,3.291666667,2020,10
La Dore,10/13/2020,2.625,2020,10
La Dore,10/14/2020,2.458333333,2020,10
La Dore,10/15/2020,3.625,2020,10
La Dore,10/16/2020,1.583333333,2020,10
La Dore,10/17/2020,1.958333333,2020,10
La Dore,10/18/2020,4.791666667,2020,10
La Dore,10/19/2020,2.25,2020,10
La Dore,10/20/2020,1.541666667,2020,10
La Dore,10/21/2020,2.416666667,2020,10
La Dore,10/22/2020,0.782608696,2020,10
La Dore,10/23/2020,1.041666667,2020,10
La Dore,10/24/2020,1.208333333,2020,10
La Dore,10/25/2020,2.333333333,2020,10
La Dore,10/26/2020,3.541666667,2020,10
La Dore,10/27/2020,0.875,2020,10
La Dore,10/28/2020,1.708333333,2020,10
La Dore,10/29/2020,2,2020,10
La Dore,10/30/2020,1.125,2020,10
La Dore,10/31/2020,2.166666667,2020,10
La Dore,11/1/2020,5.458333333,2020,11
La Dore,11/2/2020,1.25,2020,11
La Dore,11/3/2020,1.333333333,2020,11
La Dore,11/4/2020,3.416666667,2020,11
La Dore,11/5/2020,6.875,2020,11
La Dore,11/6/2020,11.41666667,2020,11
La Dore,11/7/2020,2.958333333,2020,11
La Dore,11/8/2020,5.708333333,2020,11
La Dore,11/9/2020,8,2020,11
La Dore,11/10/2020,7.125,2020,11
La Dore,11/11/2020,3.833333333,2020,11
La Dore,11/12/2020,0.958333333,2020,11
La Dore,11/13/2020,4.208333333,2020,11
La Dore,11/14/2020,2.791666667,2020,11
La Dore,11/15/2020,3.166666667,2020,11
La Dore,11/16/2020,0.458333333,2020,11
La Dore,11/17/2020,1.333333333,2020,11
La Dore,11/18/2020,3.916666667,2020,11
La Dore,11/19/2020,4.625,2020,11
La Dore,11/20/2020,6.041666667,2020,11
La Dore,11/21/2020,0.791666667,2020,11
La Dore,11/22/2020,1.333333333,2020,11
La Dore,11/23/2020,2.208333333,2020,11
La Dore,11/24/2020,1.166666667,2020,11
La Dore,11/25/2020,2.958333333,2020,11
La Dore,11/26/2020,7.291666667,2020,11
La Dore,11/27/2020,3.125,2020,11
La Dore,11/28/2020,2.375,2020,11
La Dore,11/29/2020,2.791666667,2020,11
La Dore,11/30/2020,5.958333333,2020,11
La Dore,12/1/2020,0.5,2020,12
La Dore,12/2/2020,1.833333333,2020,12
La Dore,12/3/2020,2.375,2020,12
La Dore,12/4/2020,2.708333333,2020,12
La Dore,12/5/2020,0.75,2020,12
La Dore,12/6/2020,0.5,2020,12
La Dore,12/7/2020,0.708333333,2020,12
La Dore,12/8/2020,1.125,2020,12
La Dore,12/9/2020,5.083333333,2020,12
La Dore,12/10/2020,2.25,2020,12
La Dore,12/11/2020,1.333333333,2020,12
La Dore,12/12/2020,0.541666667,2020,12
La Dore,12/13/2020,1.125,2020,12
La Dore,12/14/2020,1.916666667,2020,12
La Dore,12/15/2020,4.333333333,2020,12
La Dore,12/16/2020,5.291666667,2020,12
La Dore,12/17/2020,3.541666667,2020,12
La Dore,12/18/2020,2.333333333,2020,12
La Dore,12/19/2020,12.29166667,2020,12
La Dore,12/20/2020,7.125,2020,12
La Dore,12/21/2020,7.291666667,2020,12
La Dore,12/22/2020,7.708333333,2020,12
La Dore,12/23/2020,2.291666667,2020,12
La Dore,12/24/2020,3.583333333,2020,12
La Dore,12/25/2020,0.625,2020,12
La Dore,12/26/2020,1.333333333,2020,12
La Dore,12/27/2020,2.458333333,2020,12
La Dore,12/28/2020,4.5,2020,12
La Dore,12/29/2020,1.333333333,2020,12
La Dore,12/30/2020,3.291666667,2020,12
La Dore,12/31/2020,2.958333333,2020,12
Deschambault,1/21/2020,5.583333333,2020,1
Deschambault,1/22/2020,10.91666667,2020,1
Deschambault,1/23/2020,13.33333333,2020,1
Deschambault,1/24/2020,11.125,2020,1
Deschambault,1/25/2020,6.666666667,2020,1
Deschambault,1/26/2020,4.583333333,2020,1
Deschambault,1/27/2020,4.125,2020,1
Deschambault,1/28/2020,1.541666667,2020,1
Deschambault,1/29/2020,1.25,2020,1
Deschambault,1/30/2020,4.541666667,2020,1
Deschambault,1/31/2020,7.583333333,2020,1
Deschambault,2/1/2020,14.25,2020,2
Deschambault,2/2/2020,25.08333333,2020,2
Deschambault,2/3/2020,27.45833333,2020,2
Deschambault,2/4/2020,5.291666667,2020,2
Deschambault,2/5/2020,2.125,2020,2
Deschambault,2/6/2020,6.291666667,2020,2
Deschambault,2/7/2020,2.041666667,2020,2
Deschambault,2/8/2020,1.958333333,2020,2
Deschambault,2/9/2020,8.791666667,2020,2
Deschambault,2/10/2020,13.54166667,2020,2
Deschambault,2/11/2020,32.5,2020,2
Deschambault,2/12/2020,13.125,2020,2
Deschambault,2/13/2020,5.5,2020,2
Deschambault,2/14/2020,4.083333333,2020,2
