File generated on // Fichier créé sur, 2025-02-14

Pollutant // Polluant:, PM2.5
Units // Unités, µg/m3
Note // Note,Data is hour ending local standard time // Données en heure normale locale
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles

Pollutant//Polluant,Method Code//Code Méthode,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-27,6,7,6,5,5,3,1,0,0,3,6,8,8,8,8,8,8,7,6,6,5,4,4,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-28,3,3,3,4,3,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,5,4,4,4
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-29,2,1,0,1,2,2,4,6,4,4,4,3,3,3,3,4,3,3,3,3,4,5,3,2
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-30,2,2,4,4,6,11,13,5,1,1,1,3,4,6,5,5,5,7,5,7,8,8,9,7
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-31,7,6,5,4,4,5,4,5,9,11,14,16,18,21,18,19,21,26,21,25,25,28,23,17
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-01,2,2,3,3,4,4,5,5,2,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-02,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,2,2,2,3,4,6,6,7,7
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-03,13,19,10,10,7,7,7,8,9,8,3,2,2,2,2,2,2,4,4,5,5,4,5,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-04,8,8,7,6,3,3,4,3,1,2,2,1,1,2,1,2,3,3,4,5,6,7,6,5
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-05,6,8,6,8,15,22,23,7,5,7,5,4,1,2,4,5,4,4,7,9,7,11,12,9
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-06,12,8,11,12,8,10,10,9,11,10,9,7,4,4,3,2,2,3,3,3,6,5,11,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-07,15,11,2,13,5,17,4,4,7,8,6,8,5,5,5,6,6,4,3,3,4,5,4,4
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-08,3,2,2,1,0,0,0,1,1,2,3,13,20,13,9,9,10,11,12,19,28,19,20,19
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-09,17,19,21,21,18,15,13,12,17,20,22,22,19,14,9,7,6,8,7,6,8,6,8,10
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-10,13,17,15,13,4,2,2,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-11,0,0,0,1,1,4,6,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,1
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-12,2,4,4,4,4,6,8,6,5,6,7,5,4,4,3,3,3,2,3,5,5,9,7,4
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-13,4,5,12,8,7,11,11,10,11,11,9,7,10,5,5,4,5,16,9,4,8,3,4,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-14,3,15,19,13,9,2,3,6,4,3,4,5,7,7,7,12,14,14,12,3,2,3,4,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-15,3,2,3,3,6,7,3,3,3,2,3,2,2,3,3,3,6,11,9,8,6,9,5,4
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-16,3,3,3,1,2,2,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-17,2,2,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,5,7,3,2,2,1
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-19,0,0,0,0,0,0,0,0,1,0,0,2,1,6,9,3,0,0,1,0,1,0,-999,0
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-20,0,0,0,0,0,0,1,3,3,4,4,3,3,3,3,2,2,2,3,10,27,17,6,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-21,3,3,2,3,6,6,4,3,3,3,3,3,3,5,6,9,10,11,13,9,6,7,7,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-22,4,3,2,2,3,4,6,5,4,4,3,2,2,1,2,2,2,2,2,3,6,6,4,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-23,5,4,2,3,2,2,1,3,1,1,1,2,2,2,3,4,4,4,5,12,8,11,14,11
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-24,5,3,4,5,3,3,3,3,2,2,2,2,2,2,3,3,6,6,7,10,11,6,4,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-25,11,11,9,3,3,4,5,8,7,6,6,7,8,8,8,8,9,9,10,10,10,9,10,12
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-26,8,8,6,6,6,2,2,4,6,6,7,8,5,6,8,8,7,8,6,3,1,2,3,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-27,2,2,1,1,1,1,2,1,0,0,0,0,0,0,1,2,5,4,2,1,0,0,0,0
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-28,0,0,0,0,1,1,1,1,1,1,1,2,2,2,-999,5,5,4,4,4,4,3,3,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-29,2,2,2,3,4,4,3,3,3,4,6,5,7,8,9,5,5,5,4,4,6,5,7,4
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-04-30,4,4,4,3,4,4,4,4,4,6,5,6,7,6,7,7,7,6,8,11,17,22,18,12
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-01,10,9,7,6,5,6,2,2,6,5,3,3,3,4,4,4,4,5,7,9,4,2,1,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-02,6,5,3,8,9,8,3,2,6,9,10,13,13,14,12,11,11,10,8,8,12,15,15,9
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-03,7,7,11,14,14,12,12,19,30,22,18,16,15,7,4,4,4,3,4,3,2,3,3,3
